x	y	set
-0.0339918693812442	-0.104616216792467	3
-0.027355887588134	-0.106544147724149	1
-0.027355887588134	-0.106544147724149	2
-0.027355887588134	-0.106544147724149	3
-0.0206119446044297	-0.108051597580156	1
-0.0206119446044297	-0.108051597580156	2
-0.0206119446044297	-0.108051597580156	3
-0.0137866556920735	-0.109132617144593	1
-0.0137866556920735	-0.109132617144593	2
-0.0137866556920735	-0.109132617144593	3
-0.00690695714822454	-0.10978294012711	1
-0.00690695714822454	-0.10978294012711	2
-0.00690695714822454	-0.10978294012711	3
0	-0.11	1
0	-0.11	2
0	-0.11	3
0.00690695714822442	-0.10978294012711	1
0.00690695714822442	-0.10978294012711	2
0.00690695714822442	-0.10978294012711	3
0.0137866556920735	-0.109132617144593	1
0.0137866556920735	-0.109132617144593	2
0.0137866556920735	-0.109132617144593	3
0.0206119446044297	-0.108051597580156	1
0.0206119446044297	-0.108051597580156	2
0.0206119446044297	-0.108051597580156	3
0.027355887588134	-0.106544147724149	1
0.027355887588134	-0.106544147724149	2
0.027355887588134	-0.106544147724149	3
0.0339918693812442	-0.104616216792467	1
0.0339918693812442	-0.104616216792467	2
0.0339918693812442	-0.104616216792467	3
0.0404937007953146	-0.102275413447708	1
0.0404937007953146	-0.102275413447708	2
0.0404937007953146	-0.102275413447708	3
0.046835722072158	-0.0995309757712621	1
0.046835722072158	-0.0995309757712621	2
0.046835722072158	-0.0995309757712621	3
0.0529929041511887	-0.0963937348048249	1
0.0529929041511887	-0.0963937348048249	2
0.0529929041511887	-0.0963937348048249	3
0.0589409474476896	-0.0928760718052216	1
0.0589409474476896	-0.0928760718052216	2
0.0589409474476896	-0.0928760718052216	3
0.064656377752172	-0.0889918693812443	1
0.064656377752172	-0.0889918693812443	2
0.064656377752172	-0.0889918693812443	3
0.0701166388723559	-0.0847564567053368	1
0.0701166388723559	-0.0847564567053368	2
0.0701166388723559	-0.0847564567053368	3
0.0753001816521558	-0.0801865490163552	1
0.0753001816521558	-0.0801865490163552	2
0.0753001816521558	-0.0801865490163552	3
0.0801865490163552	-0.0753001816521558	1
0.0801865490163552	-0.0753001816521558	2
0.0801865490163552	-0.0753001816521558	3
0.0847564567053368	-0.0701166388723559	1
0.0847564567053368	-0.0701166388723559	2
0.0847564567053368	-0.0701166388723559	3
0.0889918693812441	-0.064656377752172	1
0.0889918693812441	-0.064656377752172	2
0.0889918693812441	-0.064656377752172	3
0.0928760718052216	-0.0589409474476896	1
0.0928760718052216	-0.0589409474476896	2
0.0928760718052216	-0.0589409474476896	3
0.0963937348048249	-0.0529929041511886	1
0.0963937348048249	-0.0529929041511886	2
0.0963937348048249	-0.0529929041511886	3
0.0995309757712621	-0.046835722072158	1
0.0995309757712621	-0.046835722072158	2
0.0995309757712621	-0.046835722072158	3
0.102275413447708	-0.0404937007953146	1
0.102275413447708	-0.0404937007953146	2
0.102275413447708	-0.0404937007953146	3
0.104616216792467	-0.0339918693812442	1
0.104616216792467	-0.0339918693812442	2
0.104616216792467	-0.0339918693812442	3
0.106544147724149	-0.0273558875881341	1
0.106544147724149	-0.0273558875881341	2
0.106544147724149	-0.0273558875881341	3
0.108051597580156	-0.0206119446044297	1
0.108051597580156	-0.0206119446044297	2
0.108051597580156	-0.0206119446044297	3
0.109132617144593	-0.0137866556920735	1
0.109132617144593	-0.0137866556920735	2
0.109132617144593	-0.0137866556920735	3
0.10978294012711	-0.00690695714822454	1
0.10978294012711	-0.00690695714822454	2
0.10978294012711	-0.00690695714822454	3
0.11	0	1
0.11	0	2
0.11	0	3
0.10978294012711	0.00690695714822442	1
0.10978294012711	0.00690695714822442	2
0.10978294012711	0.00690695714822442	3
0.109132617144593	0.0137866556920735	1
0.109132617144593	0.0137866556920735	2
0.109132617144593	0.0137866556920735	3
0.108051597580156	0.0206119446044297	1
0.108051597580156	0.0206119446044297	2
0.108051597580156	0.0206119446044297	3
0.106544147724149	0.027355887588134	1
0.106544147724149	0.027355887588134	2
0.106544147724149	0.027355887588134	3
0.104616216792467	0.0339918693812442	1
0.104616216792467	0.0339918693812442	2
0.104616216792467	0.0339918693812442	3
0.102275413447708	0.0404937007953146	1
0.102275413447708	0.0404937007953146	2
0.102275413447708	0.0404937007953146	3
0.0995309757712621	0.0468357220721579	1
0.0995309757712621	0.0468357220721579	2
0.0995309757712621	0.0468357220721579	3
0.0963937348048249	0.0529929041511887	1
0.0963937348048249	0.0529929041511887	2
0.0963937348048249	0.0529929041511887	3
0.0928760718052217	0.0589409474476896	1
0.0928760718052217	0.0589409474476896	2
